img	comment	related text	question	answer		
		Madame Sriziat is shown in an interior setting with her young son, having just returned from a walk.	What is Madame Sriziat shown in?	in an interior setting with her young son		
		Madame Sriziat is shown in an interior setting with her young son, having just returned from a walk.	Where is Madame Sriziat shown?	in an interior setting with her young son		
		Her cheeks are ruddy and she carries a recently picked bunch of wild flowers which are painted in a lively but meticulous manner.	What are ruddy?	her cheeks		
		Her cheeks are ruddy and she carries a recently picked bunch of wild flowers which are painted in a lively but meticulous manner.	Who carries a recently picked bunch of wild flowers which are painted in a lively but meticulous manner?	she		
09251-opening.jpg	The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building (Schepenhuis) in Mechelen on January 3, 1474.					
		The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building in Mechelen on January 3,1474.	Who does the painting depict the ceremonial opening of the Parliament of Mechelen under in the Aldermen's Building in Mechelen on January 3,1474?	under Charles the Bold		
		The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building in Mechelen on January 3,1474.	Who is Charles the Bold?	Duke of Burgundy		
		The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building in Mechelen on January 3,1474.	What depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold in the Aldermen's Building in Mechelen on January 3,1474?	the painting		
		The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building in Mechelen on January 3,1474.	Who does the painting depict the ceremonial opening of the Parliament of under Charles the Bold in the Aldermen's Building in Mechelen on January 3,1474?	of Mechelen		
		The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building in Mechelen on January 3,1474.	What does the painting depict the ceremonial opening of of Mechelen under Charles the Bold in the Aldermen's Building in Mechelen on January 3,1474?	of the Parliament		
		The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building in Mechelen on January 3,1474.	What does the painting depict under Charles the Bold in the Aldermen's Building in Mechelen on January 3,1474?	the ceremonial opening of the Parliament of Mechelen		
		The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building in Mechelen on January 3,1474.	What does the painting depict the ceremonial opening of the Parliament of Mechelen under Charles the Bold in?	in the Aldermen's Building in Mechelen on January 3,1474		
		The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building in Mechelen on January 3,1474.	What is Charles the Bold Duke of?	of Burgundy		
		The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building in Mechelen on January 3,1474.	Who is Duke of Burgundy?	Charles the Bold		
		The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building in Mechelen on January 3,1474.	Whose Building in Mechelen on January 3,1474 does the painting depict the ceremonial opening of the Parliament of Mechelen under Charles the Bold in?	in the Aldermen's Building in Mechelen on January 3,1474		
37840-venusado.jpg	This typical Mannerist painting depicts Adonis taking leave of Venus. The two white turtledoves on the right and the small Cupid holding an arrow on the left symbolizes their love. In the right background a satyr hands a piece of fruit to a nymph, while on the right two satyrs and two nymphs return from the hunt. Depicting idealized figures, nude or otherwise, in contrasting poses was a predilection that Spranger shared with many artists working at Rudolph's court in Prague					
		The two white turtledoves on the right and the small Cupid holding an arrow on the left symbolizes their love.	What symbolizes their love?	the two white turtledoves on the right and the small Cupid holding an arrow on the left		
		In the right background a satyr hands a piece of fruit to a nymph, while on the right two satyrs and two nymphs return from the hunt.	What does a satyr hand a piece of in the right background?	of fruit to a nymph return from the hunt		
		In the right background a satyr hands a piece of fruit to a nymph, while on the right two satyrs and two nymphs return from the hunt.	Who hands a piece of fruit to a nymph return from the hunt in the right background?	a satyr		
		In the right background a satyr hands a piece of fruit to a nymph, while on the right two satyrs and two nymphs return from the hunt.	What does a satyr hand in the right background?	a piece of fruit to a nymph return from the hunt		
		The two white turtledoves on the right and the small Cupid holding an arrow on the left symbolizes their love.	What does the two white turtledoves on the right and the small Cupid holding an arrow on the left symbolize?	their love		
		The two white turtledoves on the right and the small Cupid holding an arrow on the left symbolizes their love.	How many white turtledoves on the right and the small Cupid holding an arrow on the left symbolizes their love?	the two white turtledoves on the right and the small Cupid holding an arrow on the left		
		In the right background a satyr hands a piece of fruit to a nymph, while on the right two satyrs and two nymphs return from the hunt.	What does a satyr hand a piece of fruit to a nymph return from the hunt in?	in the right background		
		This typical Mannerist painting depicts Adonis taking leave of Venus.	What depicts Adonis taking leave of Venus?	this typical Mannerist painting		
14473-404fried.jpg	A symbolic and heavy sadness lies over the Graveyard under Snow. We are now looking from inside the cemetery across the grave to the open gate, which is surrounded by a latticework of bare branches. The stormy sky is dead and empty. The open grave in the foreground has prompted much speculation. Some have suggested that it is intended as the future resting-place of the artist					
		Some have suggested that it is intended as the future resting-place of the artist	What have some suggested that it is intended as?	as the future resting-place of the artist		
		A symbolic and heavy sadness lies over the Graveyard under Snow.	What does a symbolic and heavy sadness lie over under Snow?	over the Graveyard		
		A symbolic and heavy sadness lies over the Graveyard under Snow.	What does a symbolic and heavy sadness lie over the Graveyard under?	under Snow		
		We are now looking from inside the cemetery across the grave to the open gate, which is surrounded by a latticework of bare branches.	What is surrounded by a latticework of bare branches?	the open gate		
		Some have suggested that it is intended as the future resting-place of the artist	What have suggested that it is intended as the future resting-place of the artist?	some		
		Some have suggested that it is intended as the future resting-place of the artist	What have some suggested as?	that it is intended as the future resting-place of the artist		
		We are now looking from inside the cemetery across the grave to the open gate, which is surrounded by a latticework of bare branches.	What is the open gate surrounded by?	by a latticework of bare branches		
		The stormy sky is dead and empty.	What is dead and empty?	the stormy sky		
		A symbolic and heavy sadness lies over the Graveyard under Snow.	Where does a symbolic and heavy sadness lie under Snow?	over the Graveyard		
		A symbolic and heavy sadness lies over the Graveyard under Snow.	What lies over the Graveyard under Snow?	a symbolic and heavy sadness		
		The open grave in the foreground has prompted much speculation.	What has the open grave in the foreground prompted?	much speculation		
		The open grave in the foreground has prompted much speculation.	When has prompted much speculation?	the open grave in the foreground		
		We are now looking from inside the cemetery across the grave to the open gate, which is surrounded by a latticework of bare branches.	Who are now looking from inside the cemetery across the grave to the open gate?	we		
23833-2manet12.jpg	Manet detested the countryside, and found landscapes futile unless animated by some justificatory event. When he painted a view of the Trocad�ro, it was on the occasion of the World Fair					
		Manet detested the countryside, and found landscapes futile unless animated by some justificatory event.	Who found landscapes futile unless animated by some justificatory event?	Manet		
		When he painted a view of the Trocadro, it was on the occasion of the World Fair	What was on the occasion of the World Fair?	a view of the Trocadro		
		Manet detested the countryside, and found landscapes futile unless animated by some justificatory event.	Who detested the countryside?	Manet		
		Manet detested the countryside, and found landscapes futile unless animated by some justificatory event.	What did Manet detest?	the countryside		
		When he painted a view of the Trocadro, it was on the occasion of the World Fair	Who painted a view of the Trocadro?	Manet		
		Manet detested the countryside, and found landscapes futile unless animated by some justificatory event.	What did Manet find?	landscapes futile unless animated by some justificatory event		
		When he painted a view of the Trocadro, it was on the occasion of the World Fair	What was a view of the Trocadro on?	on the occasion of the World Fair		
		When he painted a view of the Trocadro, it was on the occasion of the World Fair	What did Manet paint?	a view of the Trocadro		
		When he painted a view of the Trocadro, it was on the occasion of the World Fair	Who did Manet paint a view of?	of the Trocadro		
17285-selfpo12.jpg	Catalogue numbers: F 268, JH 12199					
05288-2lastjud.jpg	The left wing of the triptych represents the Paradise.Here, across the three inner panels, appear the First and Last Things, beginning with the Fall of Man on the left wing.The story recounted in the second and third chapters of Genesis has been placed in a lush garden; in the foreground we see the creation of Eve, followed by the temptation of the First Couple. In the middle distance they are driven from the garden by an angel. The expulsion of Adam and Eve from Eden is paralleled above by the expulsion from Heaven of the Rebel Angels, who are transformed into monsters as they descend to earth. Although the revolt of proud Lucifer and his followers is not mentioned in Genesis, it appears in Jewish legends and entered Christian doctrine at an early age. These were the angels who sinned and whose prince, envying Adam, caused him to sin in turn. It was further believed that Adam and Eve had been created by God in order that their offspring might fill the places left vacant by the fallen angels. In this panel, Bosch thus depicted the entrance of sin into the world and accounted for the necessity of the Last Judgment.The inclusion of the Fall of Adam and Eve in a representation of the Last Judgment is unusual; the other two panels of the Vienna triptych depart even more from traditional iconography					
		The story recounted in the second and third chapters of Genesis has been placed in a lush garden; in the foreground we see the creation of Eve, followed by the temptation of the First Couple.	What is followed by the temptation of the First Couple?	the lush garden		
		It was further believed that Adam and Eve had been created by God in order that their offspring might fill the places left vacant by the fallen angels.	What was further believed that Adam and Eve had been created by God in order that their offspring might fill the places left vacant by the fallen angels?	these		
		The expulsion of Adam and Eve from Eden is paralleled above by the expulsion from Heaven of the Rebel Angels, who are transformed into monsters as they descend to earth.	Who are transformed into monsters as they descend to earth?	the Rebel Angels		
		The story recounted in the second and third chapters of Genesis has been placed in a lush garden; in the foreground we see the creation of Eve, followed by the temptation of the First Couple.	What is the lush garden followed by?	by the temptation of the First Couple		
		The inclusion of the Fall of Adam and Eve in a representation of the Last Judgment is unusual; the other two panels of the Vienna triptych depart even more from traditional iconography	How many other panels of the Vienna triptych depart even more from traditional iconography?	the other two panels of the Vienna		
		The expulsion of Adam and Eve from Eden is paralleled above by the expulsion from Heaven of the Rebel Angels, who are transformed into monsters as they descend to earth.	What did monsters descend to?	to earth		
		These were the angels who sinned and whose prince, envying Adam, caused him to sin in turn.	What were the angels whose prince caused Adam and Eve to sin in turn?	these		
		In the middle distance they are driven from the garden by an angel.	What are the First and Last Things driven from the garden by an angel in?	in the middle distance		
		The inclusion of the Fall of Adam and Eve in a representation of the Last Judgment is unusual; the other two panels of the Vienna triptych depart even more from traditional iconography	What is unusual?	the inclusion of the Fall of Adam and Eve in a representation of the Last Judgment		
		Although the revolt of proud Lucifer and his followers is not mentioned in Genesis, it appears in Jewish legends and entered Christian doctrine at an early age.	What is not mentioned in Genesis?	the revolt of proud Lucifer and an angel's followers		
		The inclusion of the Fall of Adam and Eve in a representation of the Last Judgment is unusual; the other two panels of the Vienna triptych depart even more from traditional iconography	What do the other two panels of the Vienna triptych depart even more from?	from traditional iconography		
		The expulsion of Adam and Eve from Eden is paralleled above by the expulsion from Heaven of the Rebel Angels, who are transformed into monsters as they descend to earth.	Who are the Rebel Angels transformed into as they descend to earth?	into monsters		
		The left wing of the triptych represents the Paradise.	What does the left wing of the triptych represent?	the Paradise		
		The expulsion of Adam and Eve from Eden is paralleled above by the expulsion from Heaven of the Rebel Angels, who are transformed into monsters as they descend to earth.	Who descend to earth?	monsters		
		The expulsion of Adam and Eve from Eden is paralleled above by the expulsion from Heaven of the Rebel Angels, who are transformed into monsters as they descend to earth.	What descend to earth?	they		
		The left wing of the triptych represents the Paradise.	What represents the Paradise?	the left wing of the triptych		
		In this panel, Bosch thus depicted the entrance of sin into the world and accounted for the necessity of the Last Judgment.	What did Bosch thus depicted the entrance of sin into the world and account for the necessity of the Last Judgment in?	in this panel		
		Although the revolt of proud Lucifer and his followers is not mentioned in Genesis, it appears in Jewish legends and entered Christian doctrine at an early age.	What entered Christian doctrine at an early age?	it		
		The inclusion of the Fall of Adam and Eve in a representation of the Last Judgment is unusual; the other two panels of the Vienna triptych depart even more from traditional iconography	What triptych depart even more from traditional iconography?	the other two panels of the Vienna		
		The story recounted in the second and third chapters of Genesis has been placed in a lush garden; in the foreground we see the creation of Eve, followed by the temptation of the First Couple.	What has the story recounted in the second and third chapters of Genesis been placed in?	in a lush garden; in the foreground we see the creation of Eve		
		The expulsion of Adam and Eve from Eden is paralleled above by the expulsion from Heaven of the Rebel Angels, who are transformed into monsters as they descend to earth.	What is paralleled above by the expulsion from Heaven of the Rebel Angels?	the expulsion of Adam and Eve from Eden		
		The expulsion of Adam and Eve from Eden is paralleled above by the expulsion from Heaven of the Rebel Angels, who are transformed into monsters as they descend to earth.	What is the expulsion of Adam and Eve from Eden paralleled above by from Heaven of the Rebel Angels?	by the expulsion		
		In the middle distance they are driven from the garden by an angel.	Who are the First and Last Things driven from the garden by in the middle distance?	by an angel		
		In the middle distance they are driven from the garden by an angel.	Who are driven from the garden by an angel in the middle distance?	they		
		Although the revolt of proud Lucifer and his followers is not mentioned in Genesis, it appears in Jewish legends and entered Christian doctrine at an early age.	What is the revolt of proud Lucifer and an angel's followers not mentioned in?	in Genesis		
		These were the angels who sinned and whose prince, envying Adam, caused him to sin in turn.	What were the angels who sinned?	these		
		Although the revolt of proud Lucifer and his followers is not mentioned in Genesis, it appears in Jewish legends and entered Christian doctrine at an early age.	What appears in Jewish legends?	it		
		In the middle distance they are driven from the garden by an angel.	What are the First and Last Things driven from by an angel in the middle distance?	from the garden		
		In the middle distance they are driven from the garden by an angel.	What are driven from the garden by an angel in the middle distance?	the First and Last Things		
		The expulsion of Adam and Eve from Eden is paralleled above by the expulsion from Heaven of the Rebel Angels, who are transformed into monsters as they descend to earth.	What is the expulsion of Adam and Eve from Eden paralleled above by the expulsion from?	from Heaven of the Rebel Angels		
35579-24spinol.jpg	"Don Ambrogio Spinola Doria, marqu�s de los Balbases (1569-1630), was an Italian general, at the service of Spain. He is often called ""Ambrosio"", especially in Spanish-speaking countries. The most significant act of his career was the taking of Breda, depicted in the famous painting by Vel�zquez.This portrait of Spinola can be compared with his other portrait by Rubens, presently in Braunschweig"					
		The most significant act of his career was the taking of Breda, depicted in the famous painting by Velzquez.	Who was the most significant act of Don Ambrogio Spinola Doria's career the taking of?	of Breda		
		He is often called'' ``Ambrosio'''', especially in Spanish-speaking countries.	Who is often called ``Ambrosio''''?	Don Ambrogio Spinola Doria		
		``Don Ambrogio Spinola Doria, marqus de los Balbases, was an Italian general, at the service of Spain.	Who was Don Ambrogio Spinola Doria?	marqus de los Balbases		
		This portrait of Spinola can be compared with his other portrait by Rubens, presently in Braunschweig''	What can be compared with his other portrait by Rubens, presently in Braunschweig?	this portrait of Spinola		
		The most significant act of his career was the taking of Breda, depicted in the famous painting by Velzquez.	What was the taking of Breda?	the most significant act of Don Ambrogio Spinola Doria's career		
		The most significant act of his career was the taking of Breda, depicted in the famous painting by Velzquez.	What was the most significant act of Don Ambrogio Spinola Doria's career?	the taking of Breda		
		``Don Ambrogio Spinola Doria, marqus de los Balbases, was an Italian general, at the service of Spain.	Who was marqus de los Balbases?	Don Ambrogio Spinola Doria		
18706-4sacrif.jpg	Girolamo Godi, organizer of a Vicenzan literary salon and friend of Pietro Bembo and Alvise Cornaro, engaged Gualtiero around 1550 to decorate the villa. In addition to the loggia, the decoration of four rooms in the right wing of the villa can be ascribed to Gualtiero: the Hall of the Gods or the Putto, the Hall of the Triumphs, the Hall of the Caesars, and the Hall of the Sacrifices. Gualtiero's sudden death in 1552 prevented him from completing the work which was taken over by Battista Zelotti and Battista del Moro, who created the frescoes in the other rooms.In the Hall of the Sacrifices allegorical figures ornament the walls. The figure with elongated limbs shows the influence of Parmigianino					
		Gualtiero's sudden death in 1552 prevented him from completing the work which was taken over by Battista Zelotti and Battista del Moro, who created the frescoes in the other rooms.	Who did Gualtiero's sudden death in 1552 prevent from completing the work which was taken over by Battista Zelotti and Battista del Moro?	Girolamo Godi		
		The figure with elongated limbs shows the influence of Parmigianino	What does the figure with elongated limbs show?	the influence of Parmigianino		
		The figure with elongated limbs shows the influence of Parmigianino	What shows the influence of Parmigianino?	the figure with elongated limbs		
		Girolamo Godi, organizer of a Vicenzan literary salon and friend of Pietro Bembo and Alvise Cornaro, engaged Gualtiero around 1550 to decorate the villa.	What was Girolamo Godi organizer of?	of a Vicenzan literary salon and friend of Pietro Bembo and Alvise Cornaro		
		Gualtiero's sudden death in 1552 prevented him from completing the work which was taken over by Battista Zelotti and Battista del Moro, who created the frescoes in the other rooms.	When prevented Girolamo Godi from completing the work which was taken over by Battista Zelotti and Battista del Moro?	Gualtiero's sudden death in 1552		
		Gualtiero's sudden death in 1552 prevented him from completing the work which was taken over by Battista Zelotti and Battista del Moro, who created the frescoes in the other rooms.	Who created the frescoes in the other rooms?	Battista Zelotti and Battista del Moro		
		Gualtiero's sudden death in 1552 prevented him from completing the work which was taken over by Battista Zelotti and Battista del Moro, who created the frescoes in the other rooms.	What did Battista Zelotti and Battista del Moro create in the other rooms?	the frescoes		
		Girolamo Godi, organizer of a Vicenzan literary salon and friend of Pietro Bembo and Alvise Cornaro, engaged Gualtiero around 1550 to decorate the villa.	When did Girolamo Godi engage Gualtiero to decorate the villa?	around 1550		
		Girolamo Godi, organizer of a Vicenzan literary salon and friend of Pietro Bembo and Alvise Cornaro, engaged Gualtiero around 1550 to decorate the villa.	Who did Girolamo Godi engage around 1550 to decorate the villa?	Gualtiero		
		Girolamo Godi, organizer of a Vicenzan literary salon and friend of Pietro Bembo and Alvise Cornaro, engaged Gualtiero around 1550 to decorate the villa.	Who was organizer of a Vicenzan literary salon and friend of Pietro Bembo and Alvise Cornaro?	Girolamo Godi		
		Girolamo Godi, organizer of a Vicenzan literary salon and friend of Pietro Bembo and Alvise Cornaro, engaged Gualtiero around 1550 to decorate the villa.	Who did Girolamo Godi engage Gualtiero around 1550 to decorate?	the villa		
		The figure with elongated limbs shows the influence of Parmigianino	Who does the figure with elongated limbs show the influence of?	of Parmigianino		
		Gualtiero's sudden death in 1552 prevented him from completing the work which was taken over by Battista Zelotti and Battista del Moro, who created the frescoes in the other rooms.	Whose sudden death in 1552 prevented Girolamo Godi from completing the work which was taken over by Battista Zelotti and Battista del Moro?	Gualtiero's sudden death in 1552		
		In the Hall of the Sacrifices allegorical figures ornament the walls.	What do allegorical figures ornament in the Hall of the Sacrifices?	the walls		
		Girolamo Godi, organizer of a Vicenzan literary salon and friend of Pietro Bembo and Alvise Cornaro, engaged Gualtiero around 1550 to decorate the villa.	Who engaged Gualtiero around 1550 to decorate the villa?	Girolamo Godi		
		In the Hall of the Sacrifices allegorical figures ornament the walls.	What do allegorical figures ornament the walls in?	in the Hall of the Sacrifices		
		In the Hall of the Sacrifices allegorical figures ornament the walls.	What ornament the walls in the Hall of the Sacrifices?	allegorical figures		
		Girolamo Godi, organizer of a Vicenzan literary salon and friend of Pietro Bembo and Alvise Cornaro, engaged Gualtiero around 1550 to decorate the villa.	Who was Girolamo Godi?	organizer of a Vicenzan literary salon and friend of Pietro Bembo and Alvise Cornaro		
		Gualtiero's sudden death in 1552 prevented him from completing the work which was taken over by Battista Zelotti and Battista del Moro, who created the frescoes in the other rooms.	What did Battista Zelotti and Battista del Moro create the frescoes in?	in the other rooms		
12961-cardinal.jpg	Cardinal Guido Bentivoglio (1579-1644), an Italian cardinal, statesman and historian, commissioned this portrait of himself. As papal nuncio, he had work for peace between the Catholics and the Protestants in Flanders, and the Catholics and the French Protestants (the Huguenots) in France. Van Dyck, refining the robust style of his master, Rubens, specialized in long, sensitive fingers and the lush treatment of fabrics - note the sitter's moir� robe					
		Van Dyck, refining the robust style of his master, Rubens, specialized in long, sensitive fingers and the lush treatment of fabrics- note the sitter's moir robe	What do Van Dyck note?	the sitter's moir robe		
		Cardinal Guido Bentivoglio, an Italian cardinal, statesman and historian, commissioned this portrait of himself.	Who was an Italian cardinal?	Cardinal Guido Bentivoglio		
		Van Dyck, refining the robust style of his master, Rubens, specialized in long, sensitive fingers and the lush treatment of fabrics- note the sitter's moir robe	Who note the sitter's moir robe?	Van Dyck		
		Van Dyck, refining the robust style of his master, Rubens, specialized in long, sensitive fingers and the lush treatment of fabrics- note the sitter's moir robe	Who refines the robust style of Cardinal Guido Bentivoglio's master?	Van Dyck		
