QUESTION,SENTENCE,LABEL
What established him as one of the most innovative Dutch landscape painters of the 17th century?,Aert Van der Neer painted his first moonlit landscape in 1643 and his mastery of this genre established him as one of the most innovative Dutch landscape painters of the 17th century.,1
"What were invariably meticulously drawn, dryly painted, yet often effectively composed, and charmingly anecdotal?","The paintings and pastels of Tissot were invariably meticulously drawn, dryly painted, yet often effectively composed, and charmingly anecdotal.",1
What did Odysseus and Calypso belong to?,Odysseus and Calypso belonged to this group of paintings,1
Who is Rembrandt the master of?,"It is assumed that the painter represented in the picture is Rembrandt, the master of Dou",1
What familiarized the French spirit him with?,"Korovin was surely the purest Russian Impressionist, the closest to the French spirit, which his several visits to western Europe after 1885 familiarized him with.",1
Who quotes here the classical model of male beauty?,"The Bible characterizes Absalom as the handsomest man in all Israel, and Salviati quotes here the classical model of male beauty, the Apollo Belvedere.",1
What is absolute?,"The atmosphere of intimacy is absolute, emanating alike from the lady and the objects included in the composition",1
"What are the three theological virtues Faith, Hope, and Love shaping a laurel wreath around?","The three theological virtues Faith, Hope, and Love are shaping a laurel wreath around the Barberini bees crowned by Religio with the keys and Roma with the papal tiara",1
What shows one of the 26 narrative scenes from the Stories of the Passion on the reverse side of the Maest &#224;?,The picture shows one of the 26 narrative scenes from the Stories of the Passion on the reverse side of the Maest &#224;.,1
What steps back along sharp diagonals?,"The painted architecture of the frescoes extends over the entire narrative, stepping back along sharp diagonals, while the row of figures moves in a gradual diagonal back into space",1
"Who cunningly laid a heap of gifts before the girls- jewellery, clothes and other finery?","They cunningly laid a heap of gifts before the girls- jewellery, clothes and other finery, but among them a sword, spear and shield.",1
What did the theme present an admonitory and often humorous inversion of?,The theme presented an admonitory and often humorous inversion of the male dominated sexual hierarchy.,1
Who is in the center?,"The Baptist, in the center, emphasizes the vertical axis around which the whole scene is organized, with pair of saints arranged symmetrically at the sides",1
What do a number of fishermen give the painting the necessary natural touch in?,"In the foreground, a number of fishermen, engaged in various activities, give the painting the necessary natural touch",1
What does the fall of light masterfully outline the contors of?,"The fall of light masterfully outlines the contors of the figure, the virtuoso brushwork is quick and brilliant",1
What represents Christ in the arms of Mary?,This painting represents Christ in the arms of Mary.,1
Who was one cell at the end of the corridor for lay brothers distinguished by?,One cell at the end of the corridor for lay brothers was distinguished by its occupant and size.,1
Who is the painter Jacques-Luc Barbier-Walbonne?,"The sitter of this portrait is the wife of the painter Jacques-Luc Barbier-Walbonne, a pupil of Jacques-Louis David",1
Who painted the Recumbent Odalisque on his return from England?,"Delacroix painted the Recumbent Odalisque, also known as Woman with a Parrot, on his return from England.",1
Who was one of the leading French painters of the Postimpressionist period?,Paul Gauguin was one of the leading French painters of the Postimpressionist period.,1
What was the story of the Holy Family's flight one of the most popular apocryphal legends which survived the prohibitive decrees of the Council of Trent and often appeared in painting from?,``The story of the Holy Family's flight was one of the most popular apocryphal legends which survived the prohibitive decrees of the Council of Trent and often appeared in painting from the end of the sixteenth century.,1
What is an example of eighteenth century decorative taste?,This picture is an example of eighteenth century decorative taste.,1
What mirrors the figure of the Virgin in the Tondo Doni?,"The latter mirrors the figure of the Virgin in the Tondo Doni, which Michelangelo executed between 1504 and 1506.",1
Who is the elevated throne flanked by?,"The pope is seated on an elevated throne, flanked by cardinals.",1
What does the medallion represent?,"The medallion in the ninth bay, above the Libyan Sibyl, represents the Sacrifice of Isaac",1
What does catalogue number: bredius?,Catalogue number: Bredius 603.,1
What becomes a basket of fruit?,"This composite head, turned upside down, becomes a basket of fruit.",1
"Who was Reginald Pole in the Roman Catholic Church, and the last Roman Catholic Archbishop of Canterbury during the Counter Reformation against the Church of England?","Reginald Pole was an English prelate, a Cardinal in the Roman Catholic Church, and the last Roman Catholic Archbishop of Canterbury during the Counter Reformation against the Church of England",1
Who worked for four years on the ceiling frescoes?,"The ceiling frescoes, on which Pozzo worked for four years, are his main work north of the Alps",1
What is Art?,"This painting is based on Fede Galizia's successful prototype (now exhibited in the Metropolitan Museum of Art, New York).",1
What belongs to the tradition of landscape painting established by Joachim Patenier and Herri met de Bles?,"It belongs to the tradition of landscape painting established by Joachim Patenier and Herri met de Bles, with its high horizon lines and exaggerated and teeming mountainous structures",1
"Who is the annunciation to the shepherds, as well as the Holy Family in flight to Egypt in the background?","In the background is the annunciation to the shepherds, as well as the Holy Family in flight to Egypt twice and the Magi on horseback.",1
What do the barrel and flagon together with the scattered playing cards clearly suggest the cause of quarrel?,The barrel and flagon together with the scattered playing cards clearly suggest the cause of the quarrel.,1
What have nothing to do with a young man's sharp gaze background totally at odds with the sitter's decidedly urban toughness?,"The sitter's languid hands and relaxed coiffure have nothing to do with his sharp gaze, undiminished by a landscape background totally at odds with the sitter's decidedly urban toughness.",1
Who is Johann Rottenhammer?,"The strong Venetian overtones derive also from the influence of his fellow countryman, Johann Rottenhammer",1
What is the only still-life known by Odekerken?,This is the only still-life known by Odekerken.,1
Who knew that the well-traveled artist could be relied upon to produce their likeness with elegance and to their advantage?,The upper-class ladies in Paris appreciated Boldini's work because they knew that the well-traveled artist could be relied upon to produce their likeness with elegance and to their advantage.,1
What was tender colors?,"Berthe Morisot preferred light, tender colors, had a precise eye, and took an interest in the psychological state expressed by her models.",1
What are Metsu's indisputable masterpieces Man Writing a Letter and Woman Reading?,Metsu's indisputable masterpieces are Man Writing a Letter and Woman Reading a Letter which were painted as companion pieces.,1
What was executed in academic style?,"It was executed in academic style, setting the figure in a perspectivically composed landscape",1
Whose sensitivity to simple and popular forms here produce an intensely poetic effect?,"Tintoretto's sensitivity to simple and popular forms of religious practice, with subdued yet mystical overtones, here produce an intensely poetic effect.",1
Who do two inscriptions indicate the contribution of?,Two inscriptions indicate the contribution of Raphael.,1
What is the identity of the sitter documented?,It is documented that Lotto had a particular interest in goldsmith work and jewelry and he had several goldsmiths among his closest friends,1
What remained unfinished due to financial difficulties?,This painting intended for the celebrated collection of artists ' likenesses in the Uffizi Gallery remained unfinished due to financial difficulties.,1
What is located in the clerestory of the north wall in the third bay of the nave?,This fresco is located in the clerestory of the north wall in the third bay of the nave,1
What is surrounded by the donor's seven sons?,"He is shown on the left wing, surrounded by his seven sons.",1
Who is Moderatio and Caritas?,"The other vault cell contains also St Thomas Aquinas between other allegories, Moderatio and Caritas (south cell), Prudentia and Fides (east cell), Justitia and Temperantia (north cell).",1
What is in the Crucifixion of St Peter and the Beheading of St Paul?,"On the south wall, in the Crucifixion of St Peter and the Beheading of St Paul, the foreground of each picture is reserved for its respective martyr.",1
What were hung in the assembly room of the governors of the serge trade?,The seven paintings were hung in the assembly room of the governors of the serge trade.,1
What does the portrait hold?,"The portrait represents her three quarter length in a white dress, holding a letter",1
What were Peyron's seven years in Rome absorbing the lessons of Italian and ancient examples particularly useful in?,"Peyron won the Grand Prix in 1773, and his seven years in Rome absorbing the lessons of Italian and ancient examples were particularly useful in his development of the Neoclassical style.",1
Who is the artist's mother?,"The sitter of the portrait is Marguerite Cauvin, the artist's mother.",1
Who did Bellini adapt the first achievements of to his own artistic expressivity with total coherence?,"Confronted by the first achievements of Giorgione, he assimilated and adapted them to his own artistic expressivity with total coherence.",1
What is Portrayed next to Archduke Maximilian II?,Portrayed next to Archduke Maximilian II is his wife Maria of Spain and three of their children.,1
What does the west wall contain View of a Villa with a Pool and Landscape with?,"The west wall contains View of a Villa with a Pool and Landscape with Waterfall, while the opposite wall has View of a Large Renaissance Palace, divided into two parts by the staircase door.",1
What gaze suggests that the picture shows one of the greatest Danish artists of all time?,Only the insistent gaze suggests that the picture shows one of the greatest Danish artists of all time,1
What shows the left wing of the Altarpiece of the Church Fathers?,"The picture shows the left wing of the Altarpiece of the Church Fathers, where Jerome is portrayed as a cardinal with the lion from whose paw he drew the thorn",1
What do Morazzone include?,They include the,1
What are known?,Four versions of this subject by Trevisani are known,1
What is no satisfactory attribution originated in?,"It is originated in Hamburg; the city depicted in Christ's orb is Hamburg, shown in a topographically accurate view from the east.",1
What could have achieved?,"Between 1890 and 1896 the Moulin Rouge inspired Lautrec to no less than thirty paintings, which give us a better picture of the famous dance hall, its atmosphere and its clientele, than any photo-reportage could have achieved",1
What is separated from the solemnly dignified scene of Ursula's funeral by a column on a pedestal of a very complex shape and color scheme?,The calculated violence of the scene of the slaughter is separated from the solemnly dignified scene of Ursula's funeral by a column on a pedestal of a very complex shape and color scheme.,1
What depicts a scene in an interior with an angler and a man with line and reel?,The painting depicts a scene in an interior with an angler and a man with line and reel,1
What shows two figures on the edge of a jetty watching a departing boat?,The painting shows two figures on the edge of a jetty watching a departing boat.,1
Who is Correggio's Zingarella known as with the Bowl?,"This small oil painting on cardboard is a study for The Rest derived from Correggio's Zingarella, known as the Madonna with the Bowl (Staatliche Museen, Kassel)",1
When is the inscription at the foot of the throne assumed?,It is assumed that the painter was Antonio di Jacopo whose name can be found on the list of the members of the painters ' guild from 1415.,1
What is missing?,The fifth element of the predella is missing.,1
What are twelve militiamen depicted in?,Twelve militiamen are depicted in this group portrait.,1
What stayed till 1972 at San Domenico?,"In May 1607 he was paid by Tommaso de ' Franchis for an altarpiece to hang in the family chapel in San Domenico, where it stayed till 1972.",1
What is located on the inside wall of the faade above the Ascension of Christ?,This roundel is located on the inside wall of the faade above the Ascension of Christ,1
What was the painting originally in the church of Corpus Domini in?,"The painting was originally in the church of Corpus Domini in Venice, where the body of the saint is preserved",1
Whose portraits are richness of color and unfailing mastery of brushstrokes the hallmarks of?,"Richness of color and unfailing mastery of brushstrokes, combined with psychological intensity in capturing character, are the hallmarks of Ghislandi's portraits.",1
What does Van der Poel not attempt on a farm with all its hardships and inconveniences?,Van der Poel does not attempt a truthful portrayal of life on a farm with all its hardships and inconveniences.,1
Who learned as much from Dirk Hals as from Frans Hals's motifs and style?,She learned as much from Dirk Hals as from Frans Hals's motifs and style.,1
What depicts the sitter in a formal unadorned setting which seems to derive from prototypes by artists of a generation earlier like Thomas Hudson?,This painting depicts the sitter in a formal unadorned setting which seems to derive from prototypes by artists of a generation earlier like Thomas Hudson,1
What is named after President of the Board of Trade from 1748-61?,"Its capital, Halifax, is named after him.",1
What is the subject matter also assumed that the painting represents the three Magi in?,"In addition to interpret the painting as three philosophers (or three matematicians) it is also assumed that the painting represents the three Magi, the Holy Family being in the cave at the left.",1
Who is also in the Rijksmuseum?,The companion-piece of the painting (Three Camaldolese Monks in Ecstatic Prayer) is also in the Rijksmuseum,1
What is the busy housekeeper?,"Martha is the personification of the busy housekeeper, the active type, in contrast to her contemplative sister, Mary of Bethany.",1
Who is St Thomas Aquinas shown In below him?,"(In this view St Ambrose and, below him, St Thomas Aquinas is shown. )",1
What was sold in 1990 at Sotheby's in New York for US$78. 100. 000?,"It was sold in 1990 at Sotheby's in New York for US$78. 100. 000, the second highest price ever paid for a work of art at that date",1
What are painted in oils on paper?,"This painting is a typical example of the many studies, painted in oils on paper, that Bidauld executed in the open air on his extensive trips through the countryside during his Italian sojourn from 1785 through 1790.",1
What do Cranach choose?,"Cranach choose another type which shows the figures from left to right in back, front, and side view, possibly in order to display feminine beauty from all three angles.",1
What is the following?,"The biblical story (Genesis, chapter 21) depicted in the paintings is the following.",1
"Who executed for the Habsburgs two ``mythological fables'''' of clearly erotic intent, the Dana &#235; and the Venus and Adonis?","``Between 1553 and 1554 Titian executed for the Habsburgs two'' ``mythological fables'''' of clearly erotic intent, the Dana &#235; and the Venus and Adonis, both now in the Prado, Madrid.",1
What was re-attributed to a much later artist in the 1970s?,"In the 1970s, the famous fresco, which had always been, considered the greatest example of Martini's artistic excellence, was re-attributed to a much later artist.",1
What is St Jerome as a hermit a theme that Titian returned to during the course of his career?,"St Jerome as a hermit, praying before a crucifix in the solitude of the wilderness, is a theme that Titian returned to again and again during the course of his career.",1
What stand out against the walls like stage sets?,"In the central hall of the villa, imposing, monumental arcades with projecting trabeation, crowned by tympanums, stand out against the walls like stage sets, framing two episodes from the life of Alexander the Great",1
What are Elizabeth's head and red hair like?,Elizabeth's head and red hair are like gems placed into a sumptuous setting.,1
Where are the objects invariably painted with the utmost care?,"In his interior scenes the objects are invariably painted with the utmost care, and light and shade are used to create atmosphere and emphasize the perspective.",1
What sit at a table in the courtyard behind a house?,"In the courtyard behind a house, the red-brick walls of which are decorated with white pilasters, a man and a woman sit at a table.",1
What are a glass of wine and a decanter?,"``The painting, which depicts a still-life with fruit and flowers, together with oysters, mussels, a glass of wine and a decanter, is signed lower left: J Van Os Fecit.",1
"What did De Heem first paint on tables overladen with ornate glass and silverware, fruit and crustacea in Antwerp?","de Heem first painted his celebrated luxury still-lifes, abundant displays on tables overladen with ornate glass and silverware, fruit and crustacea in Antwerp.",1
Who was either round or octagonal in shape with sacred and profane subjects?,"It was either round or octagonal in shape, painted sometimes on both sides with sacred and profane subjects.",1
Who was surely echoing Courbet's Young Ladies by the River Seine in presenting his prostitute with two dandies?,Manet was surely echoing Courbet's Young Ladies by the River Seine in presenting his prostitute with two dandies.,1
How many fragments of the fresco survived?,Only 16 fragments of the fresco survived.,1
What is treated as a single pictorial unit of vast proportions?,"The entire architectural surface is treated as a single pictorial unit of vast proportions, equating the dome of the church with the vault of heaven.",1
What does the Decius Mus cycle consist?,"The Decius Mus cycle of paintings, consisting eight pictures, cover all aspects of the victory and death of the Roman consul.",1
Who does the painting depict a market scene amidst ruins with?,The painting depicts a market scene amidst ruins with peasants slaughtering a pig,1
What did Thomas receive commissions from?,"Besides working on many paintings for the emperor in Vienna, Thomas received commissions from a number of Hungarian aristocrats.",1
What were usually three?,"It characteristically took the form of a series of panel paintings, usually three in number, each showing a single full-length figure of a woman.",1
What is fullest profile?,"This amusing Baroque painting represents a buffoonlike military figure, genially displaying his corpulence in fullest profile, a Barberini banner at his feet.",1
What is presently the authorship of Castell accepted by?,"However, presently the authorship of Castell is accepted by the majority of scholars",1
What was St Stephen Priest?,"The painting once hung in the Venetian church of San Stin, or St Stephen Priest, a structure that was torn down shortly after its secularisation in 1810.",1
Who is the figure of Courbet?,"In one of the two large fragments preserved in the Muse d'Orsay it is possible to recognize, seated among the guests in a clearing in the forest of Fontainebleau, the figure of Courbet himself.",1
What was archaism never cowed by?,"Free from fear of archaism, fond of humanism, but never cowed by it, Ferrarese painters sometimes used gold backgrounds, though these had been long condemned as old fashioned.",1
Who can just make out a city enveloped in mist on the far horizon?,"On the far horizon, we can just make out a city enveloped in mist.",1
What is signed?,The painting is signed and dated lower right: ANT.,1
"What depicts a peacock, turkey, chickens, and ducks with their young drinking?","This painting depicts a peacock, turkey, chickens, and ducks with their young drinking, playing and pecking about in a yard",1
What is the middle ground reminiscent of?,"In this painting Brescianino sets his figures within a landscape with a distant city and mountains beyond and the skyline is broken by long, sparsely leafed trees in the middle ground, reminiscent of those by Fra Bartolomeo",1
What was the Horse Fair preceded by?,The Horse Fair was preceded by numerous drawings and at least three painted studies.,1
What is also known as the Von der Ropp Madonna?,"This painting, close to the securely serene art of Perugino, is also known as the Von der Ropp Madonna.",1
Who were the decorative structures and surfaces of Neo- and Post-Impressionism finally of greater moment than the stylistic achievements of a Monet for?,"For James Wilson Morrice, the decorative structures and surfaces of Neo- and Post-Impressionism were finally of greater moment than the stylistic achievements of a Monet",1
Who was St Christopher?,``St Christopher was a Christian martyr who died in the third or early fourth century.,1
What does the next scene showing the dream of Joachim interlock spatially with?,The next scene showing the dream of Joachim interlocks spatially with the present one,1
What was the decoration of the chapel in the Palazzo della Signoria commissioned by?,"The decoration of the chapel in the Palazzo della Signoria (Palazzo Vecchio) was commissioned by Lorenzo de ' Medici the Younger, who headed the newly installed regime in Florence.",1
Who is probably also a contribution by Pontormo?,St Luke is probably also a contribution by Pontormo.,1
What was Marseus van Schrieck fascinated by?,Marseus van Schrieck was fascinated by the animals which he painted and their behavior.,1
Who was partially destroyed by the flood in 1966?,This famous Crucifix was partially destroyed by the flood in 1966,1
Where was the young artist traveling?,The splendid early masterpieces were painted while the young artist was traveling in Lombardy.,1
What did Adriaen van der Werff find the inspiration for the decoration during?,He found the inspiration for the decoration during a trip to Amsterdam where he saw work by Gerard Lairesse which left a deep impression on him.,1
What is recorded in the church of San Francesco?,"An altarpiece of the same subject by Giovanni Balducci, dating from 1592, is recorded in the church of San Francesco, Volterra",1
What were Battle scenes among?,Battle scenes were among the specialities of Jan Wyck.,1
When was Master Theoderic of Prague named head of the Prague guild of painters?,"Around the year 1365, Master Theoderic of Prague was named head of the Prague guild of painters.",1
What does strong links with popular religious plays reveal the static pose of?,"The static pose of the figures, which are seen in a moment of frozen drama, reveals strong links with popular religious plays.",1
What does the Nuremberg painter show such familiarity with ``Netherlandish realism'''' that he must have had previous contact with modern Flemish painting in?,"In fact, the Nuremberg painter shows such familiarity with'' ``Netherlandish realism'''' that he must have had previous contact with modern Flemish painting.",1
What was executed by the young artist at the age of 16?,"This self-portrait, showing the influence of Venetian painting, was executed by the young artist at the age of 16",1
What has Benozzo Gozzoli combined the Assumption with a depiction of Mary lowering?,"As in earlier examples, Benozzo Gozzoli has combined the Assumption with a depiction of Mary lowering her girdle",1
What are the following: Confirmation of the Rule; St Francis before the Sultan; Vision of the Ascension of St Francis?,The scenes on the south wall are the following (from top) : Confirmation of the Rule; St Francis before the Sultan (Trial by Fire) ; Vision of the Ascension of St Francis,1
What exhibited at the Salon of 1767?,"Both this painting and its pendant, Perseus and Andromeda, were exhibited at the Salon of 1767.",1
What did De Heem emigrate to?,de Heem emigrated to the Southern Netherlands.,1
What is in the first bay of the nave?,This scene on the south wall is in the first bay of the nave,1
"What is patroness of the dying, and St Catherine?","On the side panels are two auxiliary saints, or Holy Helpers: St Barbara, patroness of the dying, and St Catherine, patroness of the sick",1
"What is James the Great, Anthony the Great, Agnes and Clare?","Their patron saints stand to the rear (from left to right, James the Great, Anthony the Great, Agnes and Clare).",1
"What is not entirely clear how, or even whether, the panels were originally joined together?","It is not entirely clear how, or even whether, the panels were originally joined together; the elaborately decorated sides must have been intended to be visible''",1
What reveals a somewhat fantastical element in its mixture of different geological formations and its unnatural ratios of scale despite its apparent fidelity to nature?,"Despite its apparent fidelity to nature, the painting reveals a somewhat fantastical element in its mixture of different geological formations and its unnatural ratios of scale",1
What can be considered as an allegorical representation of eternal joy?,This depiction of a naked Venus holding a light linen veil can be considered as an allegorical representation of eternal joy,1
Who is the the central section of the ceiling of the main hall taken up by a celebratory image of Glory among?,The the central section of the ceiling of the main hall is taken up by a celebratory image of Glory among the Cardinal Virtues.,1
What did Filippino Lippi study under Botticelli?,"Filippino Lippi studied painting under Botticelli, one of the most brilliant members of the Medici school formed at Lorenzo the Magnificent's court in Florence.",1
What does the portrait of Prince Karl of Bavaria in a green riding coat belong to?,The portrait of Prince Karl of Bavaria in a green riding coat belongs to a series of portraits of the Prince which Stieler painted between 1816 and 1817.,1
Who is the next scene of carrying the cross to Calvary?,The next scene is of Christ carrying the cross to Calvary,1
Who was Casilda during the 10th century?,During the 10th century Casilda was the daughter of King al-Mamn of Toledo.,1
What are the elongated figures placed within?,"Moreover, the elongated figures are placed within an evenly lit room whose spatial disposition is reminiscent of Pieter de Hooch's interiors",1
Who did Vashti Ahasuerus choose as his wife?,Only when the Persian king Ahasuerus had repudiated his disobedient wife Vashti did he choose Esther as his wife.,1
What remains to be developed?,The scene is still surprisingly rural as this side of Montmartre remains to be developed,1
What was one of the most important historic and patriotic sites in the Netherlands in the seventeenth century?,Nijmegen was one of the most important historic and patriotic sites in the Netherlands in the seventeenth century.,1
What depicts a patrician interior with numerous women and a young man with a bird?,It depicts a patrician interior with numerous women and a young man with a bird,1
What shows a large display of paintings hanging in two rows?,The Antique Dealer's Gallery by Frans Francken the Younger captures the atmosphere of such places at the beginning of the 17th century and shows a large display of paintings hanging in two rows.,1
What had to be scratched off the wall in order to be able to fit all figures into the picture?,"In order to be able to fit all figures into the picture, some of the figures that had already been painted in the fresco had to be scratched off the wall.",1
Who continued to explore the possibilities that he opened up for portraiture and related images for at least a decade after his death?,His younger contemporaries continued to explore the possibilities that he opened up for portraiture and related images for at least a decade after his death.,1
What were decorated with altarpieces?,"They were decorated with altarpieces, consisting of enamel compositions set into painted panels, two of which, the Crucifixion and the Resurrection survive.",1
What was believed lost for a long time?,This painting was believed lost for a long time.,1
Who did Jacob van Ruisdael also paint several images of the bleaching fields around?,"Jacob van Ruisdael, van Vries's tutor, also painted several images of the bleaching fields around Haarlem.",1
Who painted a number of small landscapes of circular format?,"In the years leading up to and around 1600, just after his return to Antwerp from Italy, Brueghel painted a number of small landscapes of circular format, on panels each measuring 21 cm in diameter.",1
What is the site of a convent of the Order of St Claire which was built around 1326?,It is the site of a convent of the Order of St Claire which was built around 1326.,1
What did the Viennese Academic painter Istvn Dorfmeister become the most productive artist of in the part of Hungary lying west of Danube?,"The Viennese Academic painter Istvn Dorfmeister, who moved to Sopron as a young man became the most productive artist of the last third of the 18th century in the part of Hungary lying west of Danube.",1
Who is Cecilia Gallerani holding the heraldic animal of in her arms?,Cecilia Gallerani is holding the heraldic animal of Ludovico il Moro in her arms.,1
What shows a wooded landscape with a boy and animals near a cottage?,The painting shows a wooded landscape with a boy and animals near a cottage.,1
Who does St Benedict bid farewell to?,In scene 1 St Benedict bids farewell to his teacher and departs Rome.,1
"What is the only portrait by Antonello in which he placed the sitter in front of an expansive, atmospheric landscape instead of a plain dark background?","This small painting is the only portrait by Antonello in which he placed the sitter in front of an expansive, atmospheric landscape instead of a plain dark background.",1
What belonged to a cassone?,This panel belonged to a cassone (marriage chest),1
Who worked for a time for Frederick the Great?,"Jean Restout came of a family of painters and did many religious and mythological pictures, and worked for a time for Frederick the Great.",1
What are a simple wooden seat placed obliquely to create an effect of perspective?,"The features of the supplicating friars and the throne, a simple wooden seat placed obliquely to create an effect of perspective, reflect the teaching of Cimabue.",1
What did the world about Murillo sink further into?,"As the world about him sank further into grim despair, it was not sentimentality but heroism which impelled Murillo to cloak his painted world in clouds of incense and of roses.",1
Who was a fashionable society portraitist?,"Carolus-Duran, a fashionable society portraitist, arrived in Russia in 1876 at the invitation of Alexander Polovtsov, a senator and secretary of state under Alexander III.",1
What is the handling of the work that makes it unique?,"However, it is the handling of the work that makes it unique, for the loose brushwork of earlier Impressionist style paintings has been systematized into the pointillist technique used by Seurat and Signac at this time.",1
What has not been shown for many years?,"The final painting, which is now in the deposits of Versailles, has not been shown for many years, and was left unfinished at the artist's death",1
What was the Hun's time?,"According to the legend, in Attila the Hun's time a shepherd found God's sword standing thrust into the earth.",1
What is signed at lower right?,"This painting, signed at lower right, shows an extensive Dutch river landscape with grazing and resting cattle",1
What is the Gem &#228; ldegalerie?,"This early painting, showing mantegnesque elements, is close in style to the Madonna with St Francis in the Gem &#228; ldegalerie, Dresden",1
Who was the three Carracci the family of?,"Lodovico was the eldest of the three Carracci, the family of Bolognese artists who inaugurated the age of the baroque.",1
Whose landscapes show the influence of Claude Lorrain and Nicolas Poussin?,Chauvin's landscapes show the influence of Claude Lorrain and Nicolas Poussin,1
What may the three seated female figures on the right be identified with?,The three seated female figures on the right may be identified with the three Graces of Venus ' entourage.,1
What did Hoecke execute several paintings for Emperor Ferdinand III's brother during?,"During his stay in Austria, Hoecke executed several paintings for Emperor Ferdinand III's brother, Duke Leopold William of Austria (1614-1662",1
Who was born in Lige?,"Although he was born in Lige and also worked there, Lambert Lombard was an important figure in the development of the Antwerp School of painters.",1
When does the painter lie on the wall above- indeed a martyr to art?,"Mourned by his friends, the painter lies on his deathbed in his small room in the rue des Martyrs, his favorite sketches and pictures on the wall above- indeed a martyr to art",1
What does the painting depict the Virgin and Child before beyond?,The painting depicts the Virgin and Child before a green curtain and a window with a mountainous river landscape beyond,1
Who is Berlin?,"The oval portraits of Willem I and his wife Geertruida Assink are now in the Staatliche Museen, Berlin, while the portraits of Willem II and his wife (and niece) Geertruid Marienburg are in Prague.",1
What does the coarse materiality of painting serve to express the symbolic in?,"In Millet's hands, the coarse materiality of painting serves to express the symbolic.",1
What does a dramatic interplay of beams of light and heavy shadows lend atmosphere to?,"A dramatic interplay of beams of light and heavy shadows lends atmosphere to this lamentation, under the merest hint of a cross and ladder.",1
Who is the flesh for?,"Their music is certainly that of the flesh, for the devil near by, piping some lascivious tune through his nose, has already lured their attention from the angel praying at the left",1
What were the scenes in the predella grouped:?,"The scenes in the predella were grouped: those occurring in Jeusalem at the left, those in Antoch in the center, and those in Rome on the right",1
Who not only moved the heart?,"Eccentric and secret genius that he was, Bosch not only moved the heart but scandalized it into full awareness.",1
What is the last part of the polyptych?,The last part of the polyptych is this central panel showing the Madonna della Misericordia (Madonna of Mercy).,1
Who do the frescoes seem to have been painted almost entirely by?,"They seem to have been painted almost entirely by Benozzo Gozzoli, as is evident in the linear description of Christ's idealized anatomy, especially his ribcage, and the uninflected modelling of Dominic's habit",1
What balances on the chair?,"A map and musical instruments hang on the wall behind the figures, on the floor are weapons, a metal jug and a goblet, while a tiny monkey balances on the chair.",1
What is a detail of the ceiling fresco in the Sala di Troia?,This scene is a detail of the ceiling fresco in the Sala di Troia,1
Who was the founder of the Stralsund faience manufactory?,Joachim Ulrich Giese was the founder of the Stralsund faience manufactory.,1
What are two pairs in the National Gallery of Art in Washington Fragonard repeated the compositions of during his career?,"Fragonard repeated the compositions of the two small pendants known as Love as Folly, and Love the Sentinel numerous times during his career, two pairs are in the National Gallery of Art in Washington.",1
"What was probably a side wing of a larger ensemble from the church of Sant ` Agostino, Genoa?","This panel was probably a side wing of a larger ensemble from the church of Sant ` Agostino, Genoa",1
"What are dressed partly in Netherlands dress, partly in oriental fashion?","Bruegel has surrounded the central event with a large crowd of people, dressed partly in Netherlands dress, partly in oriental fashion",1
Who illustrated his argument with constant reference to seventeenth-century Dutch portraiture?,"In his letters to mile Bernard van Gogh often expounded his conception of the portrait, illustrating his argument with constant reference to seventeenth-century Dutch portraiture.",1
What does the present one show?,"The present one, showing the interior towards the Piazza della Rotonda, is the earliest dated version",1
