IMAGE_FILE,DESCRIPTION,QUESTION,ANSWER
18759-guard301.jpg,"Whereas Canaletto incorporates classically inspired structures or ruins into his fantastic views, and accords them an important place in the composition, Francesco Guardi's capriccios mostly refer to his own immediate surroundings: the Venetian Lagoon. In this poetic scene decorative fishing boats with yellow and brown sails are illustrated, lying in still, light-green water. Similar little ships also figure prominently in a number of Guardi's town views. In the foreground fishermen are seated together in an improvised tent, while elsewhere men are busy moving freight. The composition is constructed clearly, by means of coulisses which harmonize with the nuances in the palette. The thickly painted foreground consists of a sand bar and a hillock, behind which the fishing tent is located. The middle distance is formed by a spit of land with the remains of a wall on it in subdued, brown tones, and a large ornamental vase on a pedestal, a motif that Guardi may have borrowed from Marco Ricci. Directly behind this rises the wispy silhouette of the city, which stands out against the low sunlight. The various levels are connected to one another by the transparently painted water, which merges with the sky almost imperceptibly at the horizon.The theme of the walled city on the water is reminiscent of the capriccios Luca Carlevaris and Marco Ricci painted some fifty or sixty years earlier under the influence of seventeenth-century Roman examples. Guardi gave this view an unmistakably Venetian streak, however, by means of the Lagoon-like atmosphere and the striking belltowers, walls and roofs, which seem to be borrowed literally from the Venetian townscape","What does Canaletto incorporate classically inspired into his fantastic views, and accords?",structures or ruins
18759-guard301.jpg,"Whereas Canaletto incorporates classically inspired structures or ruins into his fantastic views, and accords them an important place in the composition, Francesco Guardi's capriccios mostly refer to his own immediate surroundings: the Venetian Lagoon. In this poetic scene decorative fishing boats with yellow and brown sails are illustrated, lying in still, light-green water. Similar little ships also figure prominently in a number of Guardi's town views. In the foreground fishermen are seated together in an improvised tent, while elsewhere men are busy moving freight. The composition is constructed clearly, by means of coulisses which harmonize with the nuances in the palette. The thickly painted foreground consists of a sand bar and a hillock, behind which the fishing tent is located. The middle distance is formed by a spit of land with the remains of a wall on it in subdued, brown tones, and a large ornamental vase on a pedestal, a motif that Guardi may have borrowed from Marco Ricci. Directly behind this rises the wispy silhouette of the city, which stands out against the low sunlight. The various levels are connected to one another by the transparently painted water, which merges with the sky almost imperceptibly at the horizon.The theme of the walled city on the water is reminiscent of the capriccios Luca Carlevaris and Marco Ricci painted some fifty or sixty years earlier under the influence of seventeenth-century Roman examples. Guardi gave this view an unmistakably Venetian streak, however, by means of the Lagoon-like atmosphere and the striking belltowers, walls and roofs, which seem to be borrowed literally from the Venetian townscape",What is the theme of the walled city on the water reminiscent of the capriccios under?,Luca Carlevaris and Marco Ricci painted some fifty or sixty years earlier under the influence of seventeenth-century Roman examples
04589-temptati.jpg,In this painting the refinement of the colouring and complexity of poses are linked to the typically late Mannerist quest for technical prowess; yet the attempt to return to a more direct expression of physical reality can be observed,What does the refinement of the coloring and complexity of pose are linked to the typically late Mannerist quest for technical prowess in?,in this painting
04589-temptati.jpg,In this painting the refinement of the colouring and complexity of poses are linked to the typically late Mannerist quest for technical prowess; yet the attempt to return to a more direct expression of physical reality can be observed,What can be observed?,the attempt to return to a more direct expression of physical reality
15104-magi.jpg,"The left side of the painting was cut, originally Saint John was depicted behind Mary, and the motive of hand kissing was in the centre of the composition",What was cut?,the left side of the painting
15104-magi.jpg,"The left side of the painting was cut, originally Saint John was depicted behind Mary, and the motive of hand kissing was in the centre of the composition",Who was depicted behind Mary?,Saint John
15104-magi.jpg,"The left side of the painting was cut, originally Saint John was depicted behind Mary, and the motive of hand kissing was in the centre of the composition",Who was Saint John depicted behind?,behind Mary
15104-magi.jpg,"The left side of the painting was cut, originally Saint John was depicted behind Mary, and the motive of hand kissing was in the centre of the composition",What was in the center of the composition?,the motive of hand kissing
15104-magi.jpg,"The left side of the painting was cut, originally Saint John was depicted behind Mary, and the motive of hand kissing was in the centre of the composition",Where was the motive of hand kissing?,in the center of the composition
15104-magi.jpg,"The left side of the painting was cut, originally Saint John was depicted behind Mary, and the motive of hand kissing was in the centre of the composition",What was the motive of hand kissing in?,in the center of the composition
36582-paolo_f1.jpg,"The painting illustrates a famous episode from the fifth canto of Dante's Inferno, in which Dante and Virgil see Paolo and Francesca condemned to the darkness of Hell with the souls of the lustful. This is the prime version of a composition Scheffer repeated several times and it has a frame which he specially devised to suit the subject.",What has a frame which a composition Scheffer repeated several times specially devised to suit the subject?,this
36582-paolo_f1.jpg,"The painting illustrates a famous episode from the fifth canto of Dante's Inferno, in which Dante and Virgil see Paolo and Francesca condemned to the darkness of Hell with the souls of the lustful. This is the prime version of a composition Scheffer repeated several times and it has a frame which he specially devised to suit the subject.",What is the prime version of a composition Scheffer repeated several times?,this
36582-paolo_f1.jpg,"The painting illustrates a famous episode from the fifth canto of Dante's Inferno, in which Dante and Virgil see Paolo and Francesca condemned to the darkness of Hell with the souls of the lustful. This is the prime version of a composition Scheffer repeated several times and it has a frame which he specially devised to suit the subject.",What illustrates a famous episode from the fifth canto of Dante's Inferno?,the painting
36582-paolo_f1.jpg,"The painting illustrates a famous episode from the fifth canto of Dante's Inferno, in which Dante and Virgil see Paolo and Francesca condemned to the darkness of Hell with the souls of the lustful. This is the prime version of a composition Scheffer repeated several times and it has a frame which he specially devised to suit the subject.",What does the painting illustrate?,a famous episode from the fifth canto of Dante's Inferno
00930-30coron.jpg,"Fra Angelico dedicated several of his works to the scene of Mary's coronation (Louvre, Paris; Museo di San Marco, Florence, Uffizi, Florence). In these pictures the ceremoniousness of the event is lessened by the gentle charm of the details.This painting is from the church of Sant'Egidio of Ospedale di Santa Maria Nuova in Florence. Its approach is special in that it presents the scene in the sky, floating on clouds, thus placing Jesus and Mary and their surrounding entourage in an interesting perspective. Spatial relations are illustrated by the use of size differences, the virtuoso rendering of light-rays, and colour perspective.The angelic choir greets the Queen of Heavens with song and dance. In the right foreground, with his back to the viewer, an angel dressed in blue plays the portative organ; his companion to the left a stringed instrument. Above, on both sides of the main group, the trumpets are raised high above the heads. Among the other instruments we can recognize a beautiful lute on the left, and a small oval-shaped violin (or mandola) on the right. The inner ring is composed of six tall, dancing angels; their flowing robes and the position of their hands indicate the direction of their movement",What can clouds recognize on the right among the other instruments?,"a beautiful lute on the left, and a small oval-shaped violin (or mandola)"
00930-30coron.jpg,"Fra Angelico dedicated several of his works to the scene of Mary's coronation (Louvre, Paris; Museo di San Marco, Florence, Uffizi, Florence). In these pictures the ceremoniousness of the event is lessened by the gentle charm of the details.This painting is from the church of Sant'Egidio of Ospedale di Santa Maria Nuova in Florence. Its approach is special in that it presents the scene in the sky, floating on clouds, thus placing Jesus and Mary and their surrounding entourage in an interesting perspective. Spatial relations are illustrated by the use of size differences, the virtuoso rendering of light-rays, and colour perspective.The angelic choir greets the Queen of Heavens with song and dance. In the right foreground, with his back to the viewer, an angel dressed in blue plays the portative organ; his companion to the left a stringed instrument. Above, on both sides of the main group, the trumpets are raised high above the heads. Among the other instruments we can recognize a beautiful lute on the left, and a small oval-shaped violin (or mandola) on the right. The inner ring is composed of six tall, dancing angels; their flowing robes and the position of their hands indicate the direction of their movement",What does an angel dressed in blue play the portative organ with?,with the Queen of Heavens's back to the viewer
00930-30coron.jpg,"Fra Angelico dedicated several of his works to the scene of Mary's coronation (Louvre, Paris; Museo di San Marco, Florence, Uffizi, Florence). In these pictures the ceremoniousness of the event is lessened by the gentle charm of the details.This painting is from the church of Sant'Egidio of Ospedale di Santa Maria Nuova in Florence. Its approach is special in that it presents the scene in the sky, floating on clouds, thus placing Jesus and Mary and their surrounding entourage in an interesting perspective. Spatial relations are illustrated by the use of size differences, the virtuoso rendering of light-rays, and colour perspective.The angelic choir greets the Queen of Heavens with song and dance. In the right foreground, with his back to the viewer, an angel dressed in blue plays the portative organ; his companion to the left a stringed instrument. Above, on both sides of the main group, the trumpets are raised high above the heads. Among the other instruments we can recognize a beautiful lute on the left, and a small oval-shaped violin (or mandola) on the right. The inner ring is composed of six tall, dancing angels; their flowing robes and the position of their hands indicate the direction of their movement","What can clouds recognize a beautiful lute on the left, and a small oval-shaped violin (or mandola) on the right among?",among the other instruments
00930-30coron.jpg,"Fra Angelico dedicated several of his works to the scene of Mary's coronation (Louvre, Paris; Museo di San Marco, Florence, Uffizi, Florence). In these pictures the ceremoniousness of the event is lessened by the gentle charm of the details.This painting is from the church of Sant'Egidio of Ospedale di Santa Maria Nuova in Florence. Its approach is special in that it presents the scene in the sky, floating on clouds, thus placing Jesus and Mary and their surrounding entourage in an interesting perspective. Spatial relations are illustrated by the use of size differences, the virtuoso rendering of light-rays, and colour perspective.The angelic choir greets the Queen of Heavens with song and dance. In the right foreground, with his back to the viewer, an angel dressed in blue plays the portative organ; his companion to the left a stringed instrument. Above, on both sides of the main group, the trumpets are raised high above the heads. Among the other instruments we can recognize a beautiful lute on the left, and a small oval-shaped violin (or mandola) on the right. The inner ring is composed of six tall, dancing angels; their flowing robes and the position of their hands indicate the direction of their movement",What does an angel dressed in blue play with the Queen of Heavens's back to the viewer?,the portative organ
00930-30coron.jpg,"Fra Angelico dedicated several of his works to the scene of Mary's coronation (Louvre, Paris; Museo di San Marco, Florence, Uffizi, Florence). In these pictures the ceremoniousness of the event is lessened by the gentle charm of the details.This painting is from the church of Sant'Egidio of Ospedale di Santa Maria Nuova in Florence. Its approach is special in that it presents the scene in the sky, floating on clouds, thus placing Jesus and Mary and their surrounding entourage in an interesting perspective. Spatial relations are illustrated by the use of size differences, the virtuoso rendering of light-rays, and colour perspective.The angelic choir greets the Queen of Heavens with song and dance. In the right foreground, with his back to the viewer, an angel dressed in blue plays the portative organ; his companion to the left a stringed instrument. Above, on both sides of the main group, the trumpets are raised high above the heads. Among the other instruments we can recognize a beautiful lute on the left, and a small oval-shaped violin (or mandola) on the right. The inner ring is composed of six tall, dancing angels; their flowing robes and the position of their hands indicate the direction of their movement",What do six's flowing robes and the position of their hands indicate the direction of?,of their movement
00930-30coron.jpg,"Fra Angelico dedicated several of his works to the scene of Mary's coronation (Louvre, Paris; Museo di San Marco, Florence, Uffizi, Florence). In these pictures the ceremoniousness of the event is lessened by the gentle charm of the details.This painting is from the church of Sant'Egidio of Ospedale di Santa Maria Nuova in Florence. Its approach is special in that it presents the scene in the sky, floating on clouds, thus placing Jesus and Mary and their surrounding entourage in an interesting perspective. Spatial relations are illustrated by the use of size differences, the virtuoso rendering of light-rays, and colour perspective.The angelic choir greets the Queen of Heavens with song and dance. In the right foreground, with his back to the viewer, an angel dressed in blue plays the portative organ; his companion to the left a stringed instrument. Above, on both sides of the main group, the trumpets are raised high above the heads. Among the other instruments we can recognize a beautiful lute on the left, and a small oval-shaped violin (or mandola) on the right. The inner ring is composed of six tall, dancing angels; their flowing robes and the position of their hands indicate the direction of their movement","What are illustrated by the use of size differences, the virtuoso rendering of light-rays, and color perspective?",spatial relations
24485-01view.jpg,"The Bardi di Vernio Chapel in Santa Croce is one of the ten that were built at the same time as the transept between 1295 and 1310. It is located in the northern arm of the transept. The chapel was frescoed c. 1335 by Maso di Banco, one of Giotto's pupils and followers. Patronage of this chapel was not transferred to the Bardi di Vernio until 1602. In the fourteenth century it was the Bardi di Mangona, a branch of the family named after the Castello di Mangona near Florence, who were its patrons.In the upper part of the left (north) wall the St Sylvester cycle of Maso di Banco can be found. The two tomb monuments are unusually elaborated for family chapels of this period. The larger of the two, whose sarcophagus and marble baldachin were later added to the niche decorated by Maso, was for the male member of the family, the smaller one (the arcosolium, an arched recess used as a place of entombment) for the female members. Maso painted only the front wall of the latter, the interior of the niche is attributed to Taddeo Gaddi.On the fresco a male member of the Bardi family kneels on his sarcophagus, quite alone on the desolate plain of the afterlife. His sarcophagus is decorated with marble reliefs of the Man of Sorrows and the Bardi arms, while the image of Christ as a judge, displaying his wounds and surrounded by angels is painted in fresco on the wall above",Who was Maso di Banco one of?,of Giotto's pupils and followers
24485-01view.jpg,"The Bardi di Vernio Chapel in Santa Croce is one of the ten that were built at the same time as the transept between 1295 and 1310. It is located in the northern arm of the transept. The chapel was frescoed c. 1335 by Maso di Banco, one of Giotto's pupils and followers. Patronage of this chapel was not transferred to the Bardi di Vernio until 1602. In the fourteenth century it was the Bardi di Mangona, a branch of the family named after the Castello di Mangona near Florence, who were its patrons.In the upper part of the left (north) wall the St Sylvester cycle of Maso di Banco can be found. The two tomb monuments are unusually elaborated for family chapels of this period. The larger of the two, whose sarcophagus and marble baldachin were later added to the niche decorated by Maso, was for the male member of the family, the smaller one (the arcosolium, an arched recess used as a place of entombment) for the female members. Maso painted only the front wall of the latter, the interior of the niche is attributed to Taddeo Gaddi.On the fresco a male member of the Bardi family kneels on his sarcophagus, quite alone on the desolate plain of the afterlife. His sarcophagus is decorated with marble reliefs of the Man of Sorrows and the Bardi arms, while the image of Christ as a judge, displaying his wounds and surrounded by angels is painted in fresco on the wall above",Whose pupils and followers was Maso di Banco one of?,of Giotto's pupils and followers
24485-01view.jpg,"The Bardi di Vernio Chapel in Santa Croce is one of the ten that were built at the same time as the transept between 1295 and 1310. It is located in the northern arm of the transept. The chapel was frescoed c. 1335 by Maso di Banco, one of Giotto's pupils and followers. Patronage of this chapel was not transferred to the Bardi di Vernio until 1602. In the fourteenth century it was the Bardi di Mangona, a branch of the family named after the Castello di Mangona near Florence, who were its patrons.In the upper part of the left (north) wall the St Sylvester cycle of Maso di Banco can be found. The two tomb monuments are unusually elaborated for family chapels of this period. The larger of the two, whose sarcophagus and marble baldachin were later added to the niche decorated by Maso, was for the male member of the family, the smaller one (the arcosolium, an arched recess used as a place of entombment) for the female members. Maso painted only the front wall of the latter, the interior of the niche is attributed to Taddeo Gaddi.On the fresco a male member of the Bardi family kneels on his sarcophagus, quite alone on the desolate plain of the afterlife. His sarcophagus is decorated with marble reliefs of the Man of Sorrows and the Bardi arms, while the image of Christ as a judge, displaying his wounds and surrounded by angels is painted in fresco on the wall above",What was the Bardi di Mangona a branch of near Florence?,of the family named after the Castello di Mangona
24485-01view.jpg,"The Bardi di Vernio Chapel in Santa Croce is one of the ten that were built at the same time as the transept between 1295 and 1310. It is located in the northern arm of the transept. The chapel was frescoed c. 1335 by Maso di Banco, one of Giotto's pupils and followers. Patronage of this chapel was not transferred to the Bardi di Vernio until 1602. In the fourteenth century it was the Bardi di Mangona, a branch of the family named after the Castello di Mangona near Florence, who were its patrons.In the upper part of the left (north) wall the St Sylvester cycle of Maso di Banco can be found. The two tomb monuments are unusually elaborated for family chapels of this period. The larger of the two, whose sarcophagus and marble baldachin were later added to the niche decorated by Maso, was for the male member of the family, the smaller one (the arcosolium, an arched recess used as a place of entombment) for the female members. Maso painted only the front wall of the latter, the interior of the niche is attributed to Taddeo Gaddi.On the fresco a male member of the Bardi family kneels on his sarcophagus, quite alone on the desolate plain of the afterlife. His sarcophagus is decorated with marble reliefs of the Man of Sorrows and the Bardi arms, while the image of Christ as a judge, displaying his wounds and surrounded by angels is painted in fresco on the wall above",What is one of the ten that were built at the same time as the transept between 1295 and 1310?,the Bardi di Vernio Chapel in Santa Croce
